#datetime;z_new_flow_RS
20190727T051959;0.10331
20190727T052059;0.10418
20190727T052159;0.10506
20190727T052259;0.10593
20190727T052359;0.1068
20190727T052459;0.10768
20190727T052559;0.10855
20190727T052659;0.10942
20190727T052759;0.1103
20190727T052859;0.11117
20190727T052959;0.11205
20190727T053059;0.11292
20190727T053159;0.11379
20190727T053259;0.11467
20190727T053359;0.11554
20190727T053459;0.11641
20190727T053559;0.11729
20190727T053659;0.11816
20190727T053759;0.11903
20190727T053859;0.11991
20190727T053959;0.12078
20190727T054059;0.12165
20190727T054159;0.12253
20190727T054259;0.1234
20190727T054359;0.12427
20190727T054459;0.12515
20190727T054559;0.12602
20190727T054659;0.12689
20190727T054759;0.12788
20190727T054859;0.12886
20190727T054959;0.12985
20190727T055059;0.13083
20190727T055159;0.13182
20190727T055259;0.1328
20190727T055359;0.13379
20190727T055459;0.13477
20190727T055559;0.13575
20190727T055659;0.13674
20190727T055759;0.13772
20190727T055859;0.13871
20190727T055959;0.13969
20190727T060059;0.14068
20190727T060159;0.14166
20190727T060259;0.14265
20190727T060359;0.14363
20190727T060459;0.14462
20190727T060559;0.1456
20190727T060659;0.14659
20190727T060759;0.14757
20190727T060859;0.14856
20190727T060959;0.14954
20190727T061059;0.15053
20190727T061159;0.15151
20190727T061259;0.1525
20190727T061359;0.15348
20190727T061459;0.15458
20190727T061559;0.15568
20190727T061659;0.15678
20190727T061759;0.15788
20190727T061859;0.15898
20190727T061959;0.16008
20190727T062059;0.16118
20190727T062159;0.16229
20190727T062259;0.16339
20190727T062359;0.16449
20190727T062459;0.16559
20190727T062559;0.16669
20190727T062659;0.16779
20190727T062759;0.16889
20190727T062859;0.16999
20190727T062959;0.17109
20190727T063059;0.17219
20190727T063159;0.17329
20190727T063259;0.17439
20190727T063359;0.17549
20190727T063459;0.17659
20190727T063559;0.17769
20190727T063659;0.17879
20190727T063759;0.17989
20190727T063859;0.181
20190727T063959;0.1821
20190727T064059;0.1832
20190727T064159;0.1843
20190727T064259;0.18552
20190727T064359;0.18674
20190727T064459;0.18796
20190727T064559;0.18918
20190727T064659;0.1904
20190727T064759;0.19162
20190727T064859;0.19284
20190727T064959;0.19406
20190727T065059;0.19528
20190727T065159;0.1965
20190727T065259;0.19772
20190727T065359;0.19894
20190727T065459;0.20016
20190727T065559;0.20139
20190727T065659;0.20261
20190727T065759;0.20383
20190727T065859;0.20505
20190727T065959;0.20627
20190727T070059;0.20749
20190727T070159;0.20871
20190727T070259;0.20993
20190727T070359;0.21115
20190727T070459;0.21237
20190727T070559;0.21359
20190727T070659;0.21481
20190727T070759;0.21603
20190727T070859;0.21725
20190727T070959;0.21847
20190727T071059;0.21982
20190727T071159;0.22116
20190727T071259;0.22251
20190727T071359;0.22385
20190727T071459;0.2252
20190727T071559;0.22654
20190727T071659;0.22789
20190727T071759;0.22923
20190727T071859;0.23058
20190727T071959;0.23192
20190727T072059;0.23327
20190727T072159;0.23461
20190727T072259;0.23596
20190727T072359;0.2373
20190727T072459;0.23864
20190727T072559;0.23999
20190727T072659;0.24133
20190727T072759;0.24268
20190727T072859;0.24402
20190727T072959;0.24537
20190727T073059;0.24672
20190727T073159;0.24807
20190727T073259;0.24943
20190727T073359;0.25081
20190727T073459;0.25219
20190727T073559;0.25359
20190727T073659;0.25501
20190727T073759;0.25645
20190727T073859;0.25803
20190727T073959;0.25963
20190727T074059;0.26125
20190727T074159;0.26289
