#datetime;z_new_flow_SU_daily
20190805T000000;0
20190806T000000;0
20190807T000000;0
20190808T000000;0
20190809T000000;0
20190810T000000;0
20190811T000000;0
20190812T000000;0
20190813T000000;0
20190814T000000;0
20190815T000000;0
20190816T000000;0
20190817T000000;0
20190818T000000;0
20190819T000000;0
20190820T000000;0
