#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;0
20190727T013059;0
20190727T013159;0
20190727T013259;0
20190727T013359;0
20190727T013459;0
20190727T013559;0
20190727T013659;0
20190727T013759;0
20190727T013859;0
20190727T013959;0
20190727T014059;0
20190727T014159;0
20190727T014259;0
20190727T014359;0
20190727T014459;0
20190727T014559;0
20190727T014659;0
20190727T014759;0
20190727T014859;0
20190727T014959;0
20190727T015059;0
20190727T015159;0
20190727T015259;0
20190727T015359;0
20190727T015459;0
20190727T015559;0
20190727T015659;0
20190727T015759;0
20190727T015859;0
20190727T015959;0
20190727T020059;0
20190727T020159;0
20190727T020259;0
20190727T020359;0
20190727T020459;0
20190727T020559;0
20190727T020659;0
20190727T020759;0
20190727T020859;0
20190727T020959;0
20190727T021059;0
20190727T021159;0
20190727T021259;0
20190727T021359;0
20190727T021459;0
20190727T021559;0
20190727T021659;1.5808e-08
20190727T021759;2.6762e-07
20190727T021859;8.8951e-07
20190727T021959;1.9706e-06
20190727T022059;3.5806e-06
20190727T022159;5.7761e-06
20190727T022259;8.6047e-06
20190727T022359;1.2107e-05
20190727T022459;1.6331e-05
20190727T022559;2.1305e-05
20190727T022659;2.7053e-05
20190727T022759;3.3611e-05
20190727T022859;4.0994e-05
20190727T022959;4.9212e-05
20190727T023059;5.8273e-05
20190727T023159;6.8349e-05
20190727T023259;7.9539e-05
20190727T023359;9.192e-05
20190727T023459;0.00010562
20190727T023559;0.00012071
20190727T023659;0.00013723
20190727T023759;0.00015519
20190727T023859;0.00017457
20190727T023959;0.00019535
20190727T024059;0.00021752
20190727T024159;0.00024118
20190727T024259;0.00026631
20190727T024359;0.0002928
20190727T024459;0.0003207
20190727T024559;0.0003501
20190727T024659;0.00038098
20190727T024759;0.00041331
20190727T024859;0.00044701
20190727T024959;0.00048201
20190727T025059;0.00051817
20190727T025159;0.00055538
20190727T025259;0.00059354
20190727T025359;0.00063255
20190727T025459;0.00067231
20190727T025559;0.0007127
20190727T025659;0.00075363
20190727T025759;0.00079498
20190727T025859;0.00083666
20190727T025959;0.00087856
20190727T030059;0.00092056
20190727T030159;0.00096274
20190727T030259;0.001005
20190727T030359;0.0010474
20190727T030459;0.0010896
20190727T030559;0.0011316
20190727T030659;0.0011732
20190727T030759;0.0012145
20190727T030859;0.0012551
20190727T030959;0.0012951
20190727T031059;0.0013344
20190727T031159;0.0013729
20190727T031259;0.0014107
20190727T031359;0.0014477
20190727T031459;0.0014841
20190727T031559;0.0015199
20190727T031659;0.0015549
20190727T031759;0.0015892
20190727T031859;0.0016225
20190727T031959;0.0016549
20190727T032059;0.0016863
20190727T032159;0.0017167
20190727T032259;0.0017461
20190727T032359;0.0017745
20190727T032459;0.0018018
20190727T032559;0.0018281
20190727T032659;0.0018535
20190727T032759;0.0018779
20190727T032859;0.0019015
20190727T032959;0.0019243
20190727T033059;0.0019461
20190727T033159;0.0019673
20190727T033259;0.0019877
20190727T033359;0.0020074
20190727T033459;0.0020264
20190727T033559;0.0020446
20190727T033659;0.0020621
20190727T033759;0.002079
20190727T033859;0.0020952
20190727T033959;0.0021108
20190727T034059;0.0021257
20190727T034159;0.0021399
20190727T034259;0.0021534
20190727T034359;0.0021664
20190727T034459;0.0021788
20190727T034559;0.0021906
20190727T034659;0.0022018
20190727T034759;0.0022125
20190727T034859;0.0022227
20190727T034959;0.0022325
20190727T035059;0.0022417
20190727T035159;0.0022505
20190727T035259;0.0022589
20190727T035359;0.002267
20190727T035459;0.0022747
20190727T035559;0.0022822
20190727T035659;0.0022894
20190727T035759;0.0022964
20190727T035859;0.0023032
20190727T035959;0.0023097
20190727T040059;0.0023159
20190727T040159;0.002322
20190727T040259;0.0023277
20190727T040359;0.0023332
20190727T040459;0.0023385
20190727T040559;0.0023435
20190727T040659;0.0023483
20190727T040759;0.0023529
20190727T040859;0.0023572
20190727T040959;0.0023613
20190727T041059;0.0023651
20190727T041159;0.0023688
20190727T041259;0.0023722
20190727T041359;0.0023754
20190727T041459;0.0023784
20190727T041559;0.0023812
20190727T041659;0.0023838
20190727T041759;0.0023862
20190727T041859;0.0023884
20190727T041959;0.0023905
20190727T042059;0.0023924
20190727T042159;0.0023941
20190727T042259;0.0023956
20190727T042359;0.002397
20190727T042459;0.0023983
20190727T042559;0.0023994
20190727T042659;0.0024004
20190727T042759;0.0024012
20190727T042859;0.0024019
20190727T042959;0.0024026
20190727T043059;0.0024031
20190727T043159;0.0024035
20190727T043259;0.0024038
20190727T043359;0.002404
20190727T043459;0.0024042
20190727T043559;0.0024042
20190727T043659;0.0024043
20190727T043759;0.0024043
20190727T043859;0.0024043
20190727T043959;0.0024043
20190727T044059;0.0024043
20190727T044159;0.0024043
20190727T044259;0.0024043
20190727T044359;0.0024043
20190727T044459;0.0024043
20190727T044559;0.0024043
20190727T044659;0.0024043
20190727T044759;0.0024043
20190727T044859;0.0024043
20190727T044959;0.0024043
20190727T045059;0.0024043
20190727T045159;0.0024043
20190727T045259;0.0024043
20190727T045359;0.0024043
20190727T045459;0.0024043
20190727T045559;0.0024043
20190727T045659;0.0024043
20190727T045759;0.0024043
20190727T045859;0.0024043
20190727T045959;0.0024043
20190727T050059;0.0024043
20190727T050159;0.0024043
20190727T050259;0.0024043
20190727T050359;0.0024043
20190727T050459;0.0024043
20190727T050559;0.0024043
20190727T050659;0.0024043
20190727T050759;0.0024043
20190727T050859;0.0024043
