#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;0
20190727T013059;0
20190727T013159;0
20190727T013259;0
20190727T013359;0
20190727T013459;0
20190727T013559;0
20190727T013659;0
20190727T013759;0
20190727T013859;0
20190727T013959;0
20190727T014059;0
20190727T014159;0
20190727T014259;0
20190727T014359;0
20190727T014459;0
20190727T014559;0
20190727T014659;0
20190727T014759;0
20190727T014859;0
20190727T014959;0
20190727T015059;0
20190727T015159;0
20190727T015259;0
20190727T015359;0
20190727T015459;0
20190727T015559;0
20190727T015659;0
20190727T015759;0
20190727T015859;0
20190727T015959;0
20190727T020059;0
20190727T020159;0
20190727T020259;0
20190727T020359;0
20190727T020459;0
20190727T020559;0
20190727T020659;0
20190727T020759;0
20190727T020859;0
20190727T020959;0
20190727T021059;0
20190727T021159;0
20190727T021259;0
20190727T021359;0
20190727T021459;0
20190727T021559;0
20190727T021659;3.9766e-08
20190727T021759;6.7322e-07
20190727T021859;2.2376e-06
20190727T021959;4.9573e-06
20190727T022059;9.0072e-06
20190727T022159;1.453e-05
20190727T022259;2.1646e-05
20190727T022359;3.0456e-05
20190727T022459;4.1082e-05
20190727T022559;5.3595e-05
20190727T022659;6.8055e-05
20190727T022759;8.4551e-05
20190727T022859;0.00010312
20190727T022959;0.0001238
20190727T023059;0.00014659
20190727T023159;0.00017194
20190727T023259;0.00020009
20190727T023359;0.00023123
20190727T023459;0.00026569
20190727T023559;0.00030366
20190727T023659;0.00034522
20190727T023759;0.0003904
20190727T023859;0.00043915
20190727T023959;0.00049141
20190727T024059;0.00054719
20190727T024159;0.00060672
20190727T024259;0.00066993
20190727T024359;0.00073657
20190727T024459;0.00080675
20190727T024559;0.00088071
20190727T024659;0.0009584
20190727T024759;0.0010397
20190727T024859;0.0011245
20190727T024959;0.0012125
20190727T025059;0.0013035
20190727T025159;0.0013971
20190727T025259;0.0014931
20190727T025359;0.0015912
20190727T025459;0.0016913
20190727T025559;0.0017929
20190727T025659;0.0018958
20190727T025759;0.0019999
20190727T025859;0.0021047
20190727T025959;0.0022101
20190727T030059;0.0023158
20190727T030159;0.0024219
20190727T030259;0.0025283
20190727T030359;0.0026347
20190727T030459;0.0027409
20190727T030559;0.0028466
20190727T030659;0.0029514
20190727T030759;0.0030551
20190727T030859;0.0031574
20190727T030959;0.0032578
20190727T031059;0.0033567
20190727T031159;0.0034537
20190727T031259;0.0035488
20190727T031359;0.0036418
20190727T031459;0.0037333
20190727T031559;0.0038234
20190727T031659;0.0039116
20190727T031759;0.0039978
20190727T031859;0.0040816
20190727T031959;0.004163
20190727T032059;0.004242
20190727T032159;0.0043186
20190727T032259;0.0043925
20190727T032359;0.0044639
20190727T032459;0.0045327
20190727T032559;0.0045989
20190727T032659;0.0046626
20190727T032759;0.0047241
20190727T032859;0.0047835
20190727T032959;0.0048407
20190727T033059;0.0048957
20190727T033159;0.0049488
20190727T033259;0.0050002
20190727T033359;0.0050498
20190727T033459;0.0050975
20190727T033559;0.0051434
20190727T033659;0.0051875
20190727T033759;0.0052299
20190727T033859;0.0052707
20190727T033959;0.0053099
20190727T034059;0.0053473
20190727T034159;0.005383
20190727T034259;0.0054171
20190727T034359;0.0054497
20190727T034459;0.0054809
20190727T034559;0.0055106
20190727T034659;0.0055389
20190727T034759;0.0055659
20190727T034859;0.0055915
20190727T034959;0.005616
20190727T035059;0.0056392
20190727T035159;0.0056614
20190727T035259;0.0056825
20190727T035359;0.0057028
20190727T035459;0.0057222
20190727T035559;0.005741
20190727T035659;0.0057592
20190727T035759;0.0057768
20190727T035859;0.0057938
20190727T035959;0.0058102
20190727T040059;0.005826
20190727T040159;0.0058411
20190727T040259;0.0058556
20190727T040359;0.0058695
20190727T040459;0.0058827
20190727T040559;0.0058953
20190727T040659;0.0059074
20190727T040759;0.0059188
20190727T040859;0.0059297
20190727T040959;0.00594
20190727T041059;0.0059497
20190727T041159;0.0059588
20190727T041259;0.0059674
20190727T041359;0.0059755
20190727T041459;0.0059831
20190727T041559;0.0059901
20190727T041659;0.0059967
20190727T041759;0.0060027
20190727T041859;0.0060083
20190727T041959;0.0060135
20190727T042059;0.0060182
20190727T042159;0.0060225
20190727T042259;0.0060264
20190727T042359;0.0060299
20190727T042459;0.0060331
20190727T042559;0.0060359
20190727T042659;0.0060383
20190727T042759;0.0060404
20190727T042859;0.0060423
20190727T042959;0.0060438
20190727T043059;0.0060451
20190727T043159;0.0060462
20190727T043259;0.0060469
20190727T043359;0.0060475
20190727T043459;0.0060479
20190727T043559;0.0060481
20190727T043659;0.0060482
20190727T043759;0.0060482
20190727T043859;0.0060482
20190727T043959;0.0060482
20190727T044059;0.0060482
20190727T044159;0.0060482
20190727T044259;0.0060482
20190727T044359;0.0060482
20190727T044459;0.0060482
20190727T044559;0.0060482
20190727T044659;0.0060482
20190727T044759;0.0060482
20190727T044859;0.0060482
20190727T044959;0.0060482
20190727T045059;0.0060482
20190727T045159;0.0060482
20190727T045259;0.0060482
20190727T045359;0.0060482
20190727T045459;0.0060482
20190727T045559;0.0060482
20190727T045659;0.0060482
20190727T045759;0.0060482
20190727T045859;0.0060482
20190727T045959;0.0060482
20190727T050059;0.0060482
20190727T050159;0.0060482
20190727T050259;0.0060482
20190727T050359;0.0060482
20190727T050459;0.0060482
20190727T050559;0.0060482
20190727T050659;0.0060482
20190727T050759;0.0060482
20190727T050859;0.0060482
20190727T050959;0.0060482
