#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;1.0173e-06
20190727T013059;5.2351e-06
20190727T013159;1.4845e-05
20190727T013259;3.3027e-05
20190727T013359;6.1896e-05
20190727T013459;0.00010321
20190727T013559;0.00015855
20190727T013659;0.00022932
20190727T013759;0.00031685
20190727T013859;0.00042239
20190727T013959;0.00054797
20190727T014059;0.00069719
20190727T014159;0.00087249
20190727T014259;0.0010759
20190727T014359;0.0013091
20190727T014459;0.0015738
20190727T014559;0.0018714
20190727T014659;0.0022032
20190727T014759;0.0025703
20190727T014859;0.002974
20190727T014959;0.0034155
20190727T015059;0.0038968
20190727T015159;0.0044191
20190727T015259;0.0049836
20190727T015359;0.0055911
20190727T015459;0.0062424
20190727T015559;0.0069386
20190727T015659;0.0076809
20190727T015759;0.0084701
20190727T015859;0.0093066
20190727T015959;0.010192
20190727T020059;0.011127
20190727T020159;0.012112
20190727T020259;0.013148
20190727T020359;0.014234
20190727T020459;0.015374
20190727T020559;0.016568
20190727T020659;0.017816
20190727T020759;0.01912
20190727T020859;0.020477
20190727T020959;0.021889
20190727T021059;0.023356
20190727T021159;0.024878
20190727T021259;0.026455
20190727T021359;0.028084
20190727T021459;0.029765
20190727T021559;0.031495
20190727T021659;0.033273
20190727T021759;0.035095
20190727T021859;0.03696
20190727T021959;0.038865
20190727T022059;0.040808
20190727T022159;0.042788
20190727T022259;0.044803
20190727T022359;0.04685
20190727T022459;0.048932
20190727T022559;0.051046
20190727T022659;0.053188
20190727T022759;0.055359
20190727T022859;0.057557
20190727T022959;0.059779
20190727T023059;0.062021
20190727T023159;0.064286
20190727T023259;0.066569
20190727T023359;0.068871
20190727T023459;0.07119
20190727T023559;0.073519
20190727T023659;0.075856
20190727T023759;0.078195
20190727T023859;0.080534
20190727T023959;0.082869
20190727T024059;0.085194
20190727T024159;0.087512
20190727T024259;0.089819
20190727T024359;0.09211
20190727T024459;0.094383
20190727T024559;0.096638
20190727T024659;0.098874
20190727T024759;0.10109
20190727T024859;0.10328
20190727T024959;0.10544
20190727T025059;0.10757
20190727T025159;0.10966
20190727T025259;0.11173
20190727T025359;0.11375
20190727T025459;0.11574
20190727T025559;0.11768
20190727T025659;0.11959
20190727T025759;0.12146
20190727T025859;0.12328
20190727T025959;0.12506
20190727T030059;0.1268
20190727T030159;0.1285
20190727T030259;0.13015
20190727T030359;0.13178
20190727T030459;0.13336
20190727T030559;0.1349
20190727T030659;0.13639
20190727T030759;0.13785
20190727T030859;0.13925
20190727T030959;0.14061
20190727T031059;0.14193
20190727T031159;0.14321
20190727T031259;0.14444
20190727T031359;0.14563
20190727T031459;0.14678
20190727T031559;0.14789
20190727T031659;0.14897
20190727T031759;0.15
20190727T031859;0.151
20190727T031959;0.15196
20190727T032059;0.15289
20190727T032159;0.15378
20190727T032259;0.15463
20190727T032359;0.15545
20190727T032459;0.15625
20190727T032559;0.15702
20190727T032659;0.15776
20190727T032759;0.15849
20190727T032859;0.15918
20190727T032959;0.15986
20190727T033059;0.16052
20190727T033159;0.16115
20190727T033259;0.16178
20190727T033359;0.16238
20190727T033459;0.16298
20190727T033559;0.16357
20190727T033659;0.16414
20190727T033759;0.16471
20190727T033859;0.16527
20190727T033959;0.16582
20190727T034059;0.16636
20190727T034159;0.1669
20190727T034259;0.16742
20190727T034359;0.16794
20190727T034459;0.16846
20190727T034559;0.16896
20190727T034659;0.16946
20190727T034759;0.16996
20190727T034859;0.17045
20190727T034959;0.17094
20190727T035059;0.17143
20190727T035159;0.1719
20190727T035259;0.17238
20190727T035359;0.17285
20190727T035459;0.17331
20190727T035559;0.17378
20190727T035659;0.17423
20190727T035759;0.17468
20190727T035859;0.17512
20190727T035959;0.17556
20190727T040059;0.17598
20190727T040159;0.1764
20190727T040259;0.17681
20190727T040359;0.17721
20190727T040459;0.17761
20190727T040559;0.17799
20190727T040659;0.17837
20190727T040759;0.17873
20190727T040859;0.17909
20190727T040959;0.17944
20190727T041059;0.17978
20190727T041159;0.18011
20190727T041259;0.18043
20190727T041359;0.18074
20190727T041459;0.18105
20190727T041559;0.18134
20190727T041659;0.18163
20190727T041759;0.1819
20190727T041859;0.18217
20190727T041959;0.18243
20190727T042059;0.18268
20190727T042159;0.18292
20190727T042259;0.18316
20190727T042359;0.18338
20190727T042459;0.1836
20190727T042559;0.18381
20190727T042659;0.18402
20190727T042759;0.18421
20190727T042859;0.1844
20190727T042959;0.18459
20190727T043059;0.18477
20190727T043159;0.18494
20190727T043259;0.1851
20190727T043359;0.18526
20190727T043459;0.18541
20190727T043559;0.18556
20190727T043659;0.1857
20190727T043759;0.18584
20190727T043859;0.18597
20190727T043959;0.18609
20190727T044059;0.18621
20190727T044159;0.18633
20190727T044259;0.18644
20190727T044359;0.18655
20190727T044459;0.18666
20190727T044559;0.18676
20190727T044659;0.18686
20190727T044759;0.18696
20190727T044859;0.18705
20190727T044959;0.18714
20190727T045059;0.18723
20190727T045159;0.18731
20190727T045259;0.1874
20190727T045359;0.18748
20190727T045459;0.18756
20190727T045559;0.18764
20190727T045659;0.18771
20190727T045759;0.18778
20190727T045859;0.18786
20190727T045959;0.18792
20190727T050059;0.18799
20190727T050159;0.18806
20190727T050259;0.18812
20190727T050359;0.18819
20190727T050459;0.18825
20190727T050559;0.18831
20190727T050659;0.18836
20190727T050759;0.18842
20190727T050859;0.18848
20190727T050959;0.18853
20190727T051059;0.18858
