#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;3.5244e-07
20190727T013059;1.8137e-06
20190727T013159;5.143e-06
20190727T013259;1.1442e-05
20190727T013359;2.1444e-05
20190727T013459;3.5759e-05
20190727T013559;5.4928e-05
20190727T013659;7.9447e-05
20190727T013759;0.00010977
20190727T013859;0.00014634
20190727T013959;0.00018985
20190727T014059;0.00024154
20190727T014159;0.00030228
20190727T014259;0.00037274
20190727T014359;0.00045355
20190727T014459;0.00054526
20190727T014559;0.00064835
20190727T014659;0.00076329
20190727T014759;0.00089049
20190727T014859;0.0010303
20190727T014959;0.0011833
20190727T015059;0.00135
20190727T015159;0.001531
20190727T015259;0.0017266
20190727T015359;0.001937
20190727T015459;0.0021627
20190727T015559;0.0024039
20190727T015659;0.0026611
20190727T015759;0.0029345
20190727T015859;0.0032243
20190727T015959;0.003531
20190727T020059;0.003855
20190727T020159;0.0041963
20190727T020259;0.004555
20190727T020359;0.0049314
20190727T020459;0.0053264
20190727T020559;0.00574
20190727T020659;0.0061726
20190727T020759;0.0066241
20190727T020859;0.0070944
20190727T020959;0.0075834
20190727T021059;0.0080917
20190727T021159;0.0086191
20190727T021259;0.0091652
20190727T021359;0.0097297
20190727T021459;0.010312
20190727T021559;0.010912
20190727T021659;0.011528
20190727T021759;0.012159
20190727T021859;0.012805
20190727T021959;0.013465
20190727T022059;0.014138
20190727T022159;0.014824
20190727T022259;0.015522
20190727T022359;0.016231
20190727T022459;0.016953
20190727T022559;0.017685
20190727T022659;0.018427
20190727T022759;0.019179
20190727T022859;0.019941
20190727T022959;0.02071
20190727T023059;0.021487
20190727T023159;0.022272
20190727T023259;0.023063
20190727T023359;0.023861
20190727T023459;0.024664
20190727T023559;0.025471
20190727T023659;0.02628
20190727T023759;0.027091
20190727T023859;0.027901
20190727T023959;0.02871
20190727T024059;0.029516
20190727T024159;0.030319
20190727T024259;0.031118
20190727T024359;0.031912
20190727T024459;0.032699
20190727T024559;0.033481
20190727T024659;0.034255
20190727T024759;0.035022
20190727T024859;0.03578
20190727T024959;0.036529
20190727T025059;0.037267
20190727T025159;0.037994
20190727T025259;0.038708
20190727T025359;0.039409
20190727T025459;0.040097
20190727T025559;0.040771
20190727T025659;0.041432
20190727T025759;0.042079
20190727T025859;0.042711
20190727T025959;0.043328
20190727T030059;0.043929
20190727T030159;0.044518
20190727T030259;0.045092
20190727T030359;0.045654
20190727T030459;0.046201
20190727T030559;0.046735
20190727T030659;0.047253
20190727T030759;0.047757
20190727T030859;0.048245
20190727T030959;0.048716
20190727T031059;0.049173
20190727T031159;0.049614
20190727T031259;0.050041
20190727T031359;0.050452
20190727T031459;0.050851
20190727T031559;0.051237
20190727T031659;0.05161
20190727T031759;0.051969
20190727T031859;0.052315
20190727T031959;0.052648
20190727T032059;0.052968
20190727T032159;0.053276
20190727T032259;0.053572
20190727T032359;0.053857
20190727T032459;0.054133
20190727T032559;0.0544
20190727T032659;0.054658
20190727T032759;0.054908
20190727T032859;0.05515
20190727T032959;0.055384
20190727T033059;0.055611
20190727T033159;0.055832
20190727T033259;0.056048
20190727T033359;0.056258
20190727T033459;0.056465
20190727T033559;0.056668
20190727T033659;0.056867
20190727T033759;0.057064
20190727T033859;0.057258
20190727T033959;0.057448
20190727T034059;0.057636
20190727T034159;0.057821
20190727T034259;0.058004
20190727T034359;0.058184
20190727T034459;0.058362
20190727T034559;0.058538
20190727T034659;0.058711
20190727T034759;0.058884
20190727T034859;0.059054
20190727T034959;0.059223
20190727T035059;0.059391
20190727T035159;0.059557
20190727T035259;0.059721
20190727T035359;0.059884
20190727T035459;0.060045
20190727T035559;0.060204
20190727T035659;0.060362
20190727T035759;0.060517
20190727T035859;0.06067
20190727T035959;0.060821
20190727T040059;0.060969
20190727T040159;0.061114
20190727T040259;0.061256
20190727T040359;0.061395
20190727T040459;0.061531
20190727T040559;0.061664
20190727T040659;0.061794
20190727T040759;0.06192
20190727T040859;0.062044
20190727T040959;0.062165
20190727T041059;0.062282
20190727T041159;0.062396
20190727T041259;0.062507
20190727T041359;0.062615
20190727T041459;0.06272
20190727T041559;0.062822
20190727T041659;0.062921
20190727T041759;0.063016
20190727T041859;0.063108
20190727T041959;0.063198
20190727T042059;0.063284
20190727T042159;0.063368
20190727T042259;0.063449
20190727T042359;0.063527
20190727T042459;0.063602
20190727T042559;0.063675
20190727T042659;0.063745
20190727T042759;0.063813
20190727T042859;0.063878
20190727T042959;0.063942
20190727T043059;0.064003
20190727T043159;0.064061
20190727T043259;0.064118
20190727T043359;0.064172
20190727T043459;0.064225
20190727T043559;0.064275
20190727T043659;0.064323
20190727T043759;0.06437
20190727T043859;0.064415
20190727T043959;0.064458
20190727T044059;0.064499
20190727T044159;0.064539
20190727T044259;0.064578
20190727T044359;0.064615
20190727T044459;0.064651
20190727T044559;0.064686
20190727T044659;0.06472
20190727T044759;0.064753
20190727T044859;0.064785
20190727T044959;0.064816
20190727T045059;0.064846
20190727T045159;0.064875
20190727T045259;0.064903
20190727T045359;0.064931
20190727T045459;0.064958
20190727T045559;0.064984
20190727T045659;0.065009
20190727T045759;0.065034
20190727T045859;0.065059
20190727T045959;0.065082
20190727T050059;0.065105
20190727T050159;0.065127
20190727T050259;0.065149
20190727T050359;0.06517
20190727T050459;0.065191
20190727T050559;0.065211
20190727T050659;0.06523
20190727T050759;0.065249
20190727T050859;0.065268
