#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;0
20190727T013059;0
20190727T013159;0
20190727T013259;0
20190727T013359;0
20190727T013459;0
20190727T013559;0
20190727T013659;0
20190727T013759;0
20190727T013859;0
20190727T013959;0
20190727T014059;0
20190727T014159;0
20190727T014259;0
20190727T014359;0
20190727T014459;0
20190727T014559;0
20190727T014659;0
20190727T014759;0
20190727T014859;0
20190727T014959;0
20190727T015059;0
20190727T015159;0
20190727T015259;0
20190727T015359;0
20190727T015459;0
20190727T015559;0
20190727T015659;0
20190727T015759;0
20190727T015859;0
20190727T015959;0
20190727T020059;0
20190727T020159;0
20190727T020259;0
20190727T020359;0
20190727T020459;0
20190727T020559;0
20190727T020659;0
20190727T020759;0
20190727T020859;0
20190727T020959;0
20190727T021059;0
20190727T021159;0
20190727T021259;0
20190727T021359;0
20190727T021459;0
20190727T021559;0
20190727T021659;1.9897e-08
20190727T021759;3.3684e-07
20190727T021859;1.1196e-06
20190727T021959;2.4804e-06
20190727T022059;4.5068e-06
20190727T022159;7.2702e-06
20190727T022259;1.083e-05
20190727T022359;1.5239e-05
20190727T022459;2.0555e-05
20190727T022559;2.6816e-05
20190727T022659;3.4051e-05
20190727T022759;4.2305e-05
20190727T022859;5.1597e-05
20190727T022959;6.1941e-05
20190727T023059;7.3347e-05
20190727T023159;8.6029e-05
20190727T023259;0.00010011
20190727T023359;0.0001157
20190727T023459;0.00013294
20190727T023559;0.00015194
20190727T023659;0.00017273
20190727T023759;0.00019533
20190727T023859;0.00021973
20190727T023959;0.00024588
20190727T024059;0.00027378
20190727T024159;0.00030357
20190727T024259;0.0003352
20190727T024359;0.00036854
20190727T024459;0.00040366
20190727T024559;0.00044066
20190727T024659;0.00047953
20190727T024759;0.00052022
20190727T024859;0.00056264
20190727T024959;0.00060669
20190727T025059;0.0006522
20190727T025159;0.00069904
20190727T025259;0.00074708
20190727T025359;0.00079618
20190727T025459;0.00084622
20190727T025559;0.00089706
20190727T025659;0.00094857
20190727T025759;0.0010006
20190727T025859;0.0010531
20190727T025959;0.0011058
20190727T030059;0.0011587
20190727T030159;0.0012118
20190727T030259;0.001265
20190727T030359;0.0013183
20190727T030459;0.0013714
20190727T030559;0.0014243
20190727T030659;0.0014767
20190727T030759;0.0015286
20190727T030859;0.0015798
20190727T030959;0.0016301
20190727T031059;0.0016795
20190727T031159;0.0017281
20190727T031259;0.0017756
20190727T031359;0.0018221
20190727T031459;0.001868
20190727T031559;0.001913
20190727T031659;0.0019572
20190727T031759;0.0020003
20190727T031859;0.0020422
20190727T031959;0.002083
20190727T032059;0.0021225
20190727T032159;0.0021608
20190727T032259;0.0021978
20190727T032359;0.0022335
20190727T032459;0.0022679
20190727T032559;0.002301
20190727T032659;0.0023329
20190727T032759;0.0023637
20190727T032859;0.0023934
20190727T032959;0.002422
20190727T033059;0.0024495
20190727T033159;0.0024761
20190727T033259;0.0025019
20190727T033359;0.0025267
20190727T033459;0.0025505
20190727T033559;0.0025735
20190727T033659;0.0025956
20190727T033759;0.0026168
20190727T033859;0.0026372
20190727T033959;0.0026568
20190727T034059;0.0026755
20190727T034159;0.0026934
20190727T034259;0.0027105
20190727T034359;0.0027268
20190727T034459;0.0027423
20190727T034559;0.0027572
20190727T034659;0.0027714
20190727T034759;0.0027849
20190727T034859;0.0027977
20190727T034959;0.0028099
20190727T035059;0.0028216
20190727T035159;0.0028327
20190727T035259;0.0028432
20190727T035359;0.0028534
20190727T035459;0.0028631
20190727T035559;0.0028725
20190727T035659;0.0028816
20190727T035759;0.0028904
20190727T035859;0.0028989
20190727T035959;0.0029071
20190727T040059;0.002915
20190727T040159;0.0029226
20190727T040259;0.0029298
20190727T040359;0.0029368
20190727T040459;0.0029434
20190727T040559;0.0029497
20190727T040659;0.0029557
20190727T040759;0.0029615
20190727T040859;0.0029669
20190727T040959;0.002972
20190727T041059;0.0029769
20190727T041159;0.0029815
20190727T041259;0.0029858
20190727T041359;0.0029898
20190727T041459;0.0029936
20190727T041559;0.0029971
20190727T041659;0.0030004
20190727T041759;0.0030035
20190727T041859;0.0030063
20190727T041959;0.0030088
20190727T042059;0.0030112
20190727T042159;0.0030134
20190727T042259;0.0030153
20190727T042359;0.0030171
20190727T042459;0.0030186
20190727T042559;0.00302
20190727T042659;0.0030213
20190727T042759;0.0030223
20190727T042859;0.0030232
20190727T042959;0.003024
20190727T043059;0.0030247
20190727T043159;0.0030252
20190727T043259;0.0030256
20190727T043359;0.0030259
20190727T043459;0.0030261
20190727T043559;0.0030262
20190727T043659;0.0030262
20190727T043759;0.0030262
20190727T043859;0.0030262
20190727T043959;0.0030262
20190727T044059;0.0030262
20190727T044159;0.0030262
20190727T044259;0.0030262
20190727T044359;0.0030262
20190727T044459;0.0030262
20190727T044559;0.0030262
20190727T044659;0.0030262
20190727T044759;0.0030262
20190727T044859;0.0030262
20190727T044959;0.0030262
20190727T045059;0.0030262
20190727T045159;0.0030262
20190727T045259;0.0030262
20190727T045359;0.0030262
20190727T045459;0.0030262
20190727T045559;0.0030262
20190727T045659;0.0030262
20190727T045759;0.0030262
20190727T045859;0.0030262
20190727T045959;0.0030262
20190727T050059;0.0030262
20190727T050159;0.0030262
20190727T050259;0.0030262
20190727T050359;0.0030262
20190727T050459;0.0030262
20190727T050559;0.0030262
20190727T050659;0.0030262
20190727T050759;0.0030262
20190727T050859;0.0030262
