#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;8.4541e-07
20190727T013059;4.3506e-06
20190727T013159;1.2337e-05
20190727T013259;2.7447e-05
20190727T013359;5.1438e-05
20190727T013459;8.5775e-05
20190727T013559;0.00013176
20190727T013659;0.00019057
20190727T013759;0.00026332
20190727T013859;0.00035103
20190727T013959;0.00045539
20190727T014059;0.00057939
20190727T014159;0.00072507
20190727T014259;0.0008941
20190727T014359;0.0010879
20190727T014459;0.0013079
20190727T014559;0.0015552
20190727T014659;0.0018309
20190727T014759;0.002136
20190727T014859;0.0024715
20190727T014959;0.0028384
20190727T015059;0.0032384
20190727T015159;0.0036724
20190727T015259;0.0041416
20190727T015359;0.0046464
20190727T015459;0.0051877
20190727T015559;0.0057662
20190727T015659;0.0063831
20190727T015759;0.007039
20190727T015859;0.0077342
20190727T015959;0.0084699
20190727T020059;0.0092469
20190727T020159;0.010066
20190727T020259;0.010926
20190727T020359;0.011829
20190727T020459;0.012776
20190727T020559;0.013769
20190727T020659;0.014806
20190727T020759;0.015889
20190727T020859;0.017017
20190727T020959;0.01819
20190727T021059;0.01941
20190727T021159;0.020675
20190727T021259;0.021985
20190727T021359;0.023339
20190727T021459;0.024736
20190727T021559;0.026174
20190727T021659;0.027651
20190727T021759;0.029166
20190727T021859;0.030715
20190727T021959;0.032298
20190727T022059;0.033913
20190727T022159;0.035559
20190727T022259;0.037233
20190727T022359;0.038935
20190727T022459;0.040665
20190727T022559;0.042421
20190727T022659;0.044201
20190727T022759;0.046006
20190727T022859;0.047832
20190727T022959;0.049678
20190727T023059;0.051542
20190727T023159;0.053424
20190727T023259;0.055322
20190727T023359;0.057235
20190727T023459;0.059162
20190727T023559;0.061098
20190727T023659;0.063039
20190727T023759;0.064983
20190727T023859;0.066927
20190727T023959;0.068868
20190727T024059;0.0708
20190727T024159;0.072726
20190727T024259;0.074643
20190727T024359;0.076547
20190727T024459;0.078436
20190727T024559;0.08031
20190727T024659;0.082168
20190727T024759;0.084007
20190727T024859;0.085827
20190727T024959;0.087623
20190727T025059;0.089394
20190727T025159;0.091136
20190727T025259;0.092849
20190727T025359;0.094531
20190727T025459;0.096181
20190727T025559;0.097799
20190727T025659;0.099384
20190727T025759;0.10093
20190727T025859;0.10245
20190727T025959;0.10393
20190727T030059;0.10537
20190727T030159;0.10678
20190727T030259;0.10816
20190727T030359;0.10951
20190727T030459;0.11082
20190727T030559;0.1121
20190727T030659;0.11335
20190727T030759;0.11455
20190727T030859;0.11573
20190727T030959;0.11686
20190727T031059;0.11795
20190727T031159;0.11901
20190727T031259;0.12003
20190727T031359;0.12102
20190727T031459;0.12198
20190727T031559;0.1229
20190727T031659;0.1238
20190727T031759;0.12466
20190727T031859;0.12549
20190727T031959;0.12629
20190727T032059;0.12706
20190727T032159;0.12779
20190727T032259;0.1285
20190727T032359;0.12919
20190727T032459;0.12985
20190727T032559;0.13049
20190727T032659;0.13111
20190727T032759;0.13171
20190727T032859;0.13229
20190727T032959;0.13285
20190727T033059;0.13339
20190727T033159;0.13392
20190727T033259;0.13444
20190727T033359;0.13495
20190727T033459;0.13544
20190727T033559;0.13593
20190727T033659;0.13641
20190727T033759;0.13688
20190727T033859;0.13734
20190727T033959;0.1378
20190727T034059;0.13825
20190727T034159;0.1387
20190727T034259;0.13914
20190727T034359;0.13957
20190727T034459;0.13999
20190727T034559;0.14042
20190727T034659;0.14083
20190727T034759;0.14125
20190727T034859;0.14165
20190727T034959;0.14206
20190727T035059;0.14246
20190727T035159;0.14286
20190727T035259;0.14325
20190727T035359;0.14364
20190727T035459;0.14403
20190727T035559;0.14441
20190727T035659;0.14479
20190727T035759;0.14517
20190727T035859;0.14553
20190727T035959;0.14589
20190727T040059;0.14625
20190727T040159;0.1466
20190727T040259;0.14694
20190727T040359;0.14727
20190727T040459;0.1476
20190727T040559;0.14792
20190727T040659;0.14823
20190727T040759;0.14853
20190727T040859;0.14883
20190727T040959;0.14912
20190727T041059;0.1494
20190727T041159;0.14968
20190727T041259;0.14995
20190727T041359;0.15021
20190727T041459;0.15046
20190727T041559;0.1507
20190727T041659;0.15094
20190727T041759;0.15117
20190727T041859;0.15139
20190727T041959;0.15161
20190727T042059;0.15182
20190727T042159;0.15202
20190727T042259;0.15221
20190727T042359;0.1524
20190727T042459;0.15258
20190727T042559;0.15276
20190727T042659;0.15293
20190727T042759;0.15309
20190727T042859;0.15325
20190727T042959;0.1534
20190727T043059;0.15355
20190727T043159;0.15369
20190727T043259;0.15383
20190727T043359;0.15396
20190727T043459;0.15409
20190727T043559;0.15421
20190727T043659;0.15432
20190727T043759;0.15444
20190727T043859;0.15455
20190727T043959;0.15465
20190727T044059;0.15475
20190727T044159;0.15485
20190727T044259;0.15494
20190727T044359;0.15503
20190727T044459;0.15512
20190727T044559;0.15521
20190727T044659;0.15529
20190727T044759;0.15537
20190727T044859;0.15545
20190727T044959;0.15552
20190727T045059;0.15559
20190727T045159;0.15567
20190727T045259;0.15573
20190727T045359;0.1558
20190727T045459;0.15587
20190727T045559;0.15593
20190727T045659;0.15599
20190727T045759;0.15606
20190727T045859;0.15612
20190727T045959;0.15617
20190727T050059;0.15623
20190727T050159;0.15628
20190727T050259;0.15634
20190727T050359;0.15639
20190727T050459;0.15644
20190727T050559;0.15649
20190727T050659;0.15654
20190727T050759;0.15658
20190727T050859;0.15663
20190727T050959;0.15667
