#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;0
20190727T010959;0
20190727T011059;0
20190727T011159;0
20190727T011259;0
20190727T011359;0
20190727T011459;0
20190727T011559;0
20190727T011659;0
20190727T011759;0
20190727T011859;0
20190727T011959;0
20190727T012059;0
20190727T012159;0
20190727T012259;0
20190727T012359;0
20190727T012459;0
20190727T012559;0
20190727T012659;0
20190727T012759;0
20190727T012859;0
20190727T012959;2.2972e-07
20190727T013059;1.1822e-06
20190727T013159;3.3522e-06
20190727T013259;7.458e-06
20190727T013359;1.3977e-05
20190727T013459;2.3307e-05
20190727T013559;3.5802e-05
20190727T013659;5.1783e-05
20190727T013759;7.155e-05
20190727T013859;9.5382e-05
20190727T013959;0.00012374
20190727T014059;0.00015744
20190727T014159;0.00019702
20190727T014259;0.00024295
20190727T014359;0.00029562
20190727T014459;0.00035539
20190727T014559;0.00042259
20190727T014659;0.00049751
20190727T014759;0.00058041
20190727T014859;0.00067156
20190727T014959;0.00077127
20190727T015059;0.00087994
20190727T015159;0.0009979
20190727T015259;0.0011254
20190727T015359;0.0012625
20190727T015459;0.0014096
20190727T015559;0.0015668
20190727T015659;0.0017345
20190727T015759;0.0019127
20190727T015859;0.0021016
20190727T015959;0.0023015
20190727T020059;0.0025126
20190727T020159;0.0027351
20190727T020259;0.0029689
20190727T020359;0.0032142
20190727T020459;0.0034717
20190727T020559;0.0037413
20190727T020659;0.0040232
20190727T020759;0.0043175
20190727T020859;0.0046241
20190727T020959;0.0049428
20190727T021059;0.0052741
20190727T021159;0.0056178
20190727T021259;0.0059738
20190727T021359;0.0063417
20190727T021459;0.0067213
20190727T021559;0.007112
20190727T021659;0.0075135
20190727T021759;0.007925
20190727T021859;0.0083461
20190727T021959;0.0087762
20190727T022059;0.0092151
20190727T022159;0.0096622
20190727T022259;0.010117
20190727T022359;0.01058
20190727T022459;0.01105
20190727T022559;0.011527
20190727T022659;0.012011
20190727T022759;0.012501
20190727T022859;0.012997
20190727T022959;0.013499
20190727T023059;0.014005
20190727T023159;0.014517
20190727T023259;0.015032
20190727T023359;0.015552
20190727T023459;0.016076
20190727T023559;0.016602
20190727T023659;0.017129
20190727T023759;0.017658
20190727T023859;0.018186
20190727T023959;0.018713
20190727T024059;0.019238
20190727T024159;0.019761
20190727T024259;0.020282
20190727T024359;0.0208
20190727T024459;0.021313
20190727T024559;0.021822
20190727T024659;0.022327
20190727T024759;0.022827
20190727T024859;0.023321
20190727T024959;0.023809
20190727T025059;0.02429
20190727T025159;0.024764
20190727T025259;0.025229
20190727T025359;0.025686
20190727T025459;0.026135
20190727T025559;0.026574
20190727T025659;0.027005
20190727T025759;0.027426
20190727T025859;0.027838
20190727T025959;0.02824
20190727T030059;0.028633
20190727T030159;0.029016
20190727T030259;0.029391
20190727T030359;0.029757
20190727T030459;0.030114
20190727T030559;0.030461
20190727T030659;0.030799
20190727T030759;0.031127
20190727T030859;0.031445
20190727T030959;0.031753
20190727T031059;0.03205
20190727T031159;0.032338
20190727T031259;0.032616
20190727T031359;0.032884
20190727T031459;0.033144
20190727T031559;0.033396
20190727T031659;0.033639
20190727T031759;0.033873
20190727T031859;0.034099
20190727T031959;0.034316
20190727T032059;0.034524
20190727T032159;0.034725
20190727T032259;0.034918
20190727T032359;0.035104
20190727T032459;0.035283
20190727T032559;0.035457
20190727T032659;0.035626
20190727T032759;0.035788
20190727T032859;0.035946
20190727T032959;0.036099
20190727T033059;0.036247
20190727T033159;0.036391
20190727T033259;0.036531
20190727T033359;0.036669
20190727T033459;0.036804
20190727T033559;0.036936
20190727T033659;0.037066
20190727T033759;0.037194
20190727T033859;0.03732
20190727T033959;0.037444
20190727T034059;0.037567
20190727T034159;0.037687
20190727T034259;0.037806
20190727T034359;0.037924
20190727T034459;0.03804
20190727T034559;0.038154
20190727T034659;0.038268
20190727T034759;0.03838
20190727T034859;0.038491
20190727T034959;0.038601
20190727T035059;0.03871
20190727T035159;0.038819
20190727T035259;0.038926
20190727T035359;0.039032
20190727T035459;0.039137
20190727T035559;0.039241
20190727T035659;0.039344
20190727T035759;0.039445
20190727T035859;0.039545
20190727T035959;0.039643
20190727T040059;0.03974
20190727T040159;0.039834
20190727T040259;0.039927
20190727T040359;0.040018
20190727T040459;0.040106
20190727T040559;0.040193
20190727T040659;0.040278
20190727T040759;0.040361
20190727T040859;0.040441
20190727T040959;0.04052
20190727T041059;0.040597
20190727T041159;0.040671
20190727T041259;0.040744
20190727T041359;0.040815
20190727T041459;0.040883
20190727T041559;0.04095
20190727T041659;0.041014
20190727T041759;0.041076
20190727T041859;0.041137
20190727T041959;0.041195
20190727T042059;0.041252
20190727T042159;0.041307
20190727T042259;0.04136
20190727T042359;0.041411
20190727T042459;0.04146
20190727T042559;0.041508
20190727T042659;0.041554
20190727T042759;0.041598
20190727T042859;0.041641
20190727T042959;0.041683
20190727T043059;0.041723
20190727T043159;0.041761
20190727T043259;0.041799
20190727T043359;0.041834
20190727T043459;0.041869
20190727T043559;0.041902
20190727T043659;0.041934
20190727T043759;0.041964
20190727T043859;0.041994
20190727T043959;0.042022
20190727T044059;0.04205
20190727T044159;0.042076
20190727T044259;0.042102
20190727T044359;0.042126
20190727T044459;0.04215
20190727T044559;0.042173
20190727T044659;0.042196
20190727T044759;0.042217
20190727T044859;0.042238
20190727T044959;0.042259
20190727T045059;0.042279
20190727T045159;0.042298
20190727T045259;0.042317
20190727T045359;0.042335
20190727T045459;0.042353
20190727T045559;0.042371
20190727T045659;0.042388
20190727T045759;0.042404
20190727T045859;0.04242
20190727T045959;0.042436
20190727T050059;0.042451
20190727T050159;0.042466
20190727T050259;0.042481
20190727T050359;0.042495
20190727T050459;0.042508
20190727T050559;0.042522
20190727T050659;0.042535
20190727T050759;0.042548
