#datetime;z_new_flow_RS
20190727T005959;0
20190727T010059;0
20190727T010159;3.187e-06
20190727T010259;6.374e-06
20190727T010359;9.5611e-06
20190727T010459;1.2748e-05
20190727T010559;1.5935e-05
20190727T010659;1.9122e-05
20190727T010759;2.2309e-05
20190727T010859;2.5496e-05
20190727T010959;2.8683e-05
20190727T011059;3.4538e-05
20190727T011159;4.0393e-05
20190727T011259;4.6248e-05
20190727T011359;5.2103e-05
20190727T011459;5.7958e-05
20190727T011559;6.3813e-05
20190727T011659;6.9668e-05
20190727T011759;7.5523e-05
20190727T011859;8.1378e-05
20190727T011959;8.7233e-05
20190727T012059;9.3088e-05
20190727T012159;9.8943e-05
20190727T012259;0.0001048
20190727T012359;0.00011065
20190727T012459;0.00011651
20190727T012559;0.00012236
20190727T012659;0.00012822
20190727T012759;0.00013407
20190727T012859;0.00013993
20190727T012959;0.00014578
20190727T013059;0.00015164
20190727T013159;0.00015749
20190727T013259;0.00016335
20190727T013359;0.0001692
20190727T013459;0.00017506
20190727T013559;0.00018091
20190727T013659;0.00018677
20190727T013759;0.00019262
20190727T013859;0.00020164
20190727T013959;0.00021065
20190727T014059;0.00021967
20190727T014159;0.00022868
20190727T014259;0.0002377
20190727T014359;0.00024671
20190727T014459;0.00025572
20190727T014559;0.00026474
20190727T014659;0.00027375
20190727T014759;0.00028277
20190727T014859;0.00029178
20190727T014959;0.0003008
20190727T015059;0.00030981
20190727T015159;0.00031883
20190727T015259;0.00032784
20190727T015359;0.00033685
20190727T015459;0.00034587
20190727T015559;0.00035488
20190727T015659;0.0003639
20190727T015759;0.00037291
20190727T015859;0.00038193
20190727T015959;0.00039094
20190727T020059;0.00039995
20190727T020159;0.00040897
20190727T020259;0.00041798
20190727T020359;0.000427
20190727T020459;0.00043601
20190727T020559;0.00044861
20190727T020659;0.00046121
20190727T020759;0.00047381
20190727T020859;0.00048641
20190727T020959;0.000499
20190727T021059;0.0005116
20190727T021159;0.0005242
20190727T021259;0.0005368
20190727T021359;0.0005494
20190727T021459;0.00056199
20190727T021559;0.00057459
20190727T021659;0.00058719
20190727T021759;0.00059979
20190727T021859;0.00061239
20190727T021959;0.00062499
20190727T022059;0.00063758
20190727T022159;0.00065018
20190727T022259;0.00066278
20190727T022359;0.00067538
20190727T022459;0.00068798
20190727T022559;0.00070057
20190727T022659;0.00071317
20190727T022759;0.00072577
20190727T022859;0.00073837
20190727T022959;0.00075097
20190727T023059;0.00076356
20190727T023159;0.00077616
20190727T023259;0.00078876
20190727T023359;0.00080532
20190727T023459;0.00082188
20190727T023559;0.00083844
20190727T023659;0.000855
20190727T023759;0.00087157
20190727T023859;0.00088813
20190727T023959;0.00090469
20190727T024059;0.00092125
20190727T024159;0.00093781
20190727T024259;0.00095437
20190727T024359;0.00097093
20190727T024459;0.00098749
20190727T024559;0.0010041
20190727T024659;0.0010206
20190727T024759;0.0010372
20190727T024859;0.0010537
20190727T024959;0.0010703
20190727T025059;0.0010869
20190727T025159;0.0011034
20190727T025259;0.00112
20190727T025359;0.0011365
20190727T025459;0.0011531
20190727T025559;0.0011697
20190727T025659;0.0011862
20190727T025759;0.0012028
20190727T025859;0.0012193
20190727T025959;0.0012359
20190727T030059;0.0012525
20190727T030159;0.0012733
20190727T030259;0.0012942
20190727T030359;0.0013151
20190727T030459;0.0013359
20190727T030559;0.0013568
20190727T030659;0.0013777
20190727T030759;0.0013985
20190727T030859;0.0014194
20190727T030959;0.0014403
20190727T031059;0.0014612
20190727T031159;0.001482
20190727T031259;0.0015029
20190727T031359;0.0015238
20190727T031459;0.0015446
20190727T031559;0.0015655
20190727T031659;0.0015864
20190727T031759;0.0016072
20190727T031859;0.0016281
20190727T031959;0.001649
20190727T032059;0.0016698
20190727T032159;0.0016907
20190727T032259;0.0017116
20190727T032359;0.0017325
20190727T032459;0.0017533
20190727T032559;0.0017742
20190727T032659;0.0017951
20190727T032759;0.0018159
20190727T032859;0.0018414
20190727T032959;0.0018669
20190727T033059;0.0018924
20190727T033159;0.0019179
20190727T033259;0.0019434
20190727T033359;0.0019689
20190727T033459;0.0019944
20190727T033559;0.0020199
20190727T033659;0.0020454
20190727T033759;0.0020709
20190727T033859;0.0020964
20190727T033959;0.0021219
20190727T034059;0.0021474
20190727T034159;0.0021729
20190727T034259;0.0021984
20190727T034359;0.0022239
20190727T034459;0.0022494
20190727T034559;0.0022749
20190727T034659;0.0023004
20190727T034759;0.0023259
20190727T034859;0.0023514
20190727T034959;0.0023769
20190727T035059;0.0024024
20190727T035159;0.0024279
20190727T035259;0.0024534
20190727T035359;0.0024789
20190727T035459;0.0025044
20190727T035559;0.0025299
20190727T035659;0.0025603
20190727T035759;0.0025907
20190727T035859;0.0026211
20190727T035959;0.0026516
20190727T040059;0.002682
20190727T040159;0.0027124
20190727T040259;0.0027428
20190727T040359;0.0027733
20190727T040459;0.0028037
20190727T040559;0.0028341
20190727T040659;0.0028645
20190727T040759;0.002895
20190727T040859;0.0029254
20190727T040959;0.0029558
20190727T041059;0.0029862
20190727T041159;0.0030167
20190727T041259;0.0030471
20190727T041359;0.0030775
20190727T041459;0.0031079
20190727T041559;0.0031384
20190727T041659;0.0031688
20190727T041759;0.0031992
20190727T041859;0.0032296
20190727T041959;0.0032601
20190727T042059;0.0032905
20190727T042159;0.0033209
20190727T042259;0.0033513
20190727T042359;0.0033818
20190727T042459;0.0034174
20190727T042559;0.003453
20190727T042659;0.0034887
20190727T042759;0.0035243
20190727T042859;0.0035599
20190727T042959;0.0035956
20190727T043059;0.0036312
20190727T043159;0.0036668
20190727T043259;0.0037025
20190727T043359;0.0037381
20190727T043459;0.0037737
20190727T043559;0.0038094
20190727T043659;0.003845
20190727T043759;0.0038806
20190727T043859;0.0039163
20190727T043959;0.0039519
20190727T044059;0.0039875
20190727T044159;0.0040232
20190727T044259;0.0040588
20190727T044359;0.0040944
20190727T044459;0.0041301
