#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;5.2622e-07
20190727T010959;3.3987e-05
20190727T011059;0.00014385
20190727T011159;0.0003684
20190727T011259;0.00075757
20190727T011359;0.0013434
20190727T011459;0.0021584
20190727T011559;0.0032269
20190727T011659;0.004571
20190727T011759;0.0062015
20190727T011859;0.0081434
20190727T011959;0.010391
20190727T012059;0.012937
20190727T012159;0.015749
20190727T012259;0.018766
20190727T012359;0.021954
20190727T012459;0.025263
20190727T012559;0.028662
20190727T012659;0.03207
20190727T012759;0.035395
20190727T012859;0.038581
20190727T012959;0.041563
20190727T013059;0.044303
20190727T013159;0.046781
20190727T013259;0.04897
20190727T013359;0.050898
20190727T013459;0.05257
20190727T013559;0.054046
20190727T013659;0.05531
20190727T013759;0.056381
20190727T013859;0.057305
20190727T013959;0.058119
20190727T014059;0.058862
20190727T014159;0.059553
20190727T014259;0.060209
20190727T014359;0.060832
20190727T014459;0.061424
20190727T014559;0.061986
20190727T014659;0.062501
20190727T014759;0.062968
20190727T014859;0.063384
20190727T014959;0.063752
20190727T015059;0.064071
20190727T015159;0.064345
20190727T015259;0.064579
20190727T015359;0.064777
20190727T015459;0.064943
20190727T015559;0.065081
20190727T015659;0.065197
20190727T015759;0.065295
20190727T015859;0.065379
20190727T015959;0.065451
20190727T020059;0.06551
20190727T020159;0.06556
20190727T020259;0.065599
20190727T020359;0.065629
20190727T020459;0.065651
20190727T020559;0.065665
20190727T020659;0.065674
20190727T020759;0.065679
20190727T020859;0.065683
20190727T020959;0.065686
20190727T021059;0.06569
20190727T021159;0.065696
20190727T021259;0.065706
20190727T021359;0.065719
20190727T021459;0.065736
20190727T021559;0.065758
20190727T021659;0.065786
20190727T021759;0.065821
20190727T021859;0.065862
20190727T021959;0.065911
20190727T022059;0.065969
20190727T022159;0.066036
20190727T022259;0.066112
20190727T022359;0.066198
20190727T022459;0.066292
20190727T022559;0.066397
20190727T022659;0.066509
20190727T022759;0.066629
20190727T022859;0.066758
20190727T022959;0.066896
20190727T023059;0.06704
20190727T023159;0.067191
20190727T023259;0.06735
20190727T023359;0.067525
20190727T023459;0.06772
20190727T023559;0.067945
20190727T023659;0.068203
20190727T023759;0.068527
20190727T023859;0.068932
20190727T023959;0.069424
20190727T024059;0.070005
20190727T024159;0.07069
20190727T024259;0.071466
20190727T024359;0.072325
20190727T024459;0.073251
20190727T024559;0.074224
20190727T024659;0.075187
20190727T024759;0.076103
20190727T024859;0.076929
20190727T024959;0.077649
20190727T025059;0.078268
20190727T025159;0.078773
20190727T025259;0.079172
20190727T025359;0.07949
20190727T025459;0.079726
20190727T025559;0.079893
20190727T025659;0.080013
20190727T025759;0.080102
20190727T025859;0.080169
20190727T025959;0.08022
20190727T030059;0.080257
20190727T030159;0.080283
20190727T030259;0.080302
20190727T030359;0.080314
20190727T030459;0.080323
20190727T030559;0.080327
20190727T030659;0.080329
20190727T030759;0.08033
20190727T030859;0.08033
20190727T030959;0.080332
20190727T031059;0.080338
20190727T031159;0.08035
20190727T031259;0.080367
20190727T031359;0.080395
20190727T031459;0.080436
20190727T031559;0.080491
20190727T031659;0.080549
20190727T031759;0.080595
20190727T031859;0.080623
20190727T031959;0.08064
20190727T032059;0.080648
20190727T032159;0.080647
20190727T032259;0.080643
20190727T032359;0.080638
20190727T032459;0.080632
20190727T032559;0.080627
20190727T032659;0.080622
20190727T032759;0.080616
20190727T032859;0.08061
20190727T032959;0.080604
20190727T033059;0.080598
20190727T033159;0.080592
20190727T033259;0.080586
20190727T033359;0.080579
20190727T033459;0.080572
20190727T033559;0.080566
20190727T033659;0.080559
20190727T033759;0.080552
20190727T033859;0.080545
20190727T033959;0.080538
20190727T034059;0.080531
20190727T034159;0.080523
20190727T034259;0.080516
20190727T034359;0.080508
20190727T034459;0.0805
20190727T034559;0.080492
20190727T034659;0.080485
20190727T034759;0.080476
20190727T034859;0.080468
20190727T034959;0.08046
20190727T035059;0.080452
20190727T035159;0.080443
20190727T035259;0.080435
20190727T035359;0.080426
20190727T035459;0.080417
20190727T035559;0.080408
20190727T035659;0.080399
20190727T035759;0.080393
20190727T035859;0.080392
20190727T035959;0.080394
20190727T040059;0.080396
20190727T040159;0.080399
20190727T040259;0.080402
20190727T040359;0.080404
20190727T040459;0.080405
20190727T040559;0.080405
20190727T040659;0.080405
20190727T040759;0.080405
20190727T040859;0.080401
20190727T040959;0.080394
20190727T041059;0.080387
20190727T041159;0.080378
20190727T041259;0.080368
20190727T041359;0.080358
20190727T041459;0.080347
20190727T041559;0.080337
20190727T041659;0.080327
20190727T041759;0.080316
20190727T041859;0.080306
20190727T041959;0.080295
20190727T042059;0.080284
20190727T042159;0.080274
20190727T042259;0.080263
20190727T042359;0.080252
20190727T042459;0.080241
20190727T042559;0.08023
20190727T042659;0.080219
20190727T042759;0.080208
20190727T042859;0.080197
20190727T042959;0.080188
20190727T043059;0.080184
20190727T043159;0.080195
20190727T043259;0.080227
20190727T043359;0.080279
20190727T043459;0.080346
20190727T043559;0.080422
20190727T043659;0.080506
20190727T043759;0.080591
20190727T043859;0.080671
20190727T043959;0.080745
20190727T044059;0.080805
20190727T044159;0.080848
20190727T044259;0.080878
20190727T044359;0.080903
20190727T044459;0.080923
20190727T044559;0.080933
20190727T044659;0.080936
20190727T044759;0.080931
20190727T044859;0.080923
20190727T044959;0.080913
20190727T045059;0.080901
20190727T045159;0.080889
20190727T045259;0.080877
20190727T045359;0.080865
20190727T045459;0.080852
20190727T045559;0.080839
20190727T045659;0.080827
20190727T045759;0.080814
20190727T045859;0.080801
20190727T045959;0.080787
20190727T050059;0.080774
20190727T050159;0.080761
20190727T050259;0.080748
20190727T050359;0.080735
20190727T050459;0.080721
20190727T050559;0.080708
20190727T050659;0.080697
