#datetime;z_new_flow_RS
20190727T005959;0
20190727T010059;0
20190727T010159;0.25397
20190727T010259;0.50794
20190727T010359;0.7619
20190727T010459;1.0147
20190727T010559;1.2669
20190727T010659;1.5217
20190727T010759;1.7824
20190727T010859;2.0517
20190727T010959;2.3277
20190727T011059;2.6101
20190727T011159;2.8918
20190727T011259;3.1672
20190727T011359;3.4331
20190727T011459;3.6876
20190727T011559;3.9285
20190727T011659;4.1548
20190727T011759;4.3761
20190727T011859;4.571
20190727T011959;4.7546
20190727T012059;4.8961
20190727T012159;4.9843
20190727T012259;5.0479
20190727T012359;5.0813
20190727T012459;5.0872
20190727T012559;5.0331
20190727T012659;4.9191
20190727T012759;4.7635
20190727T012859;4.563
20190727T012959;4.3318
20190727T013059;4.08
20190727T013159;3.8019
20190727T013259;3.5351
20190727T013359;3.2629
20190727T013459;3.0332
20190727T013559;2.7418
20190727T013659;2.4196
20190727T013759;2.0959
20190727T013859;1.77
20190727T013959;1.4355
20190727T014059;1.1513
20190727T014159;0.88744
20190727T014259;0.61275
20190727T014359;0.34017
20190727T014459;0.082864
20190727T014559;0
20190727T014659;0
20190727T014759;0
20190727T014859;0
20190727T014959;0
20190727T015059;0
20190727T015159;0
20190727T015259;0
20190727T015359;0
20190727T015459;0
20190727T015559;0
20190727T015659;0
20190727T015759;0
20190727T015859;0
20190727T015959;0
20190727T020059;0
20190727T020159;0
20190727T020259;0
20190727T020359;0
20190727T020459;0
20190727T020559;0
20190727T020659;0
20190727T020759;0
20190727T020859;0
20190727T020959;0
20190727T021059;0
20190727T021159;0
20190727T021259;0.0023651
20190727T021359;0.018778
20190727T021459;0.048313
20190727T021559;0.090742
20190727T021659;0.13972
20190727T021759;0.19822
20190727T021859;0.267
20190727T021959;0.35187
20190727T022059;0.44837
20190727T022159;0.55491
20190727T022259;0.67074
20190727T022359;0.79456
20190727T022459;0.92536
20190727T022559;1.0625
20190727T022659;1.2039
20190727T022759;1.3453
20190727T022859;1.483
20190727T022959;1.6008
20190727T023059;1.7078
20190727T023159;1.8195
20190727T023259;1.9546
20190727T023359;2.0946
20190727T023459;2.2543
20190727T023559;2.4158
20190727T023659;2.5926
20190727T023759;2.7573
20190727T023859;2.9128
20190727T023959;3.0564
20190727T024059;3.2021
20190727T024159;3.3088
20190727T024259;3.3878
20190727T024359;3.435
20190727T024459;3.4603
20190727T024559;3.4121
20190727T024659;3.3249
20190727T024759;3.2082
20190727T024859;3.0686
20190727T024959;2.9225
20190727T025059;2.7511
20190727T025159;2.5616
20190727T025259;2.3947
20190727T025359;2.1887
20190727T025459;1.9503
20190727T025559;1.7274
20190727T025659;1.5051
20190727T025759;1.2864
20190727T025859;1.0659
20190727T025959;0.84768
20190727T030059;0.637
20190727T030159;0.46358
20190727T030259;0.3052
20190727T030359;0.16923
20190727T030459;0.069568
20190727T030559;0
20190727T030659;0
20190727T030759;0
20190727T030859;0
20190727T030959;0.038812
20190727T031059;0.085646
20190727T031159;0.14731
20190727T031259;0.22319
20190727T031359;0.31376
20190727T031459;0.42596
20190727T031559;0.55007
20190727T031659;0.67123
20190727T031759;0.76615
20190727T031859;0.82181
20190727T031959;0.87308
20190727T032059;0.90309
20190727T032159;0.91308
20190727T032259;0.92412
20190727T032359;0.928
20190727T032459;0.92483
20190727T032559;0.9046
20190727T032659;0.88732
20190727T032759;0.87428
20190727T032859;0.87634
20190727T032959;0.88401
20190727T033059;0.8971
20190727T033159;0.91527
20190727T033259;0.93812
20190727T033359;0.96426
20190727T033459;0.98081
20190727T033559;0.9956
20190727T033659;1.0102
20190727T033759;1.0268
20190727T033859;1.0469
20190727T033959;1.0721
20190727T034059;1.1062
20190727T034159;1.1481
20190727T034259;1.1967
20190727T034359;1.2587
20190727T034459;1.3238
20190727T034559;1.3856
20190727T034659;1.4459
20190727T034759;1.4849
20190727T034859;1.5236
20190727T034959;1.5613
20190727T035059;1.5987
20190727T035159;1.6198
20190727T035259;1.6346
20190727T035359;1.6481
20190727T035459;1.687
20190727T035559;1.7334
20190727T035659;1.7917
20190727T035759;1.8351
20190727T035859;1.8504
20190727T035959;1.8423
20190727T040059;1.8258
20190727T040159;1.8031
20190727T040259;1.7735
20190727T040359;1.7189
20190727T040459;1.656
20190727T040559;1.5897
20190727T040659;1.5352
20190727T040759;1.4678
20190727T040859;1.4057
20190727T040959;1.3663
20190727T041059;1.3353
20190727T041159;1.2846
20190727T041259;1.2292
20190727T041359;1.1927
20190727T041459;1.1633
20190727T041559;1.1433
20190727T041659;1.129
20190727T041759;1.1175
20190727T041859;1.1142
20190727T041959;1.1188
20190727T042059;1.1319
20190727T042159;1.1543
20190727T042259;1.1895
20190727T042359;1.253
20190727T042459;1.3543
20190727T042559;1.4537
20190727T042659;1.5571
20190727T042759;1.6632
20190727T042859;1.7503
20190727T042959;1.8477
20190727T043059;1.9428
20190727T043159;2.03
20190727T043259;2.0899
20190727T043359;2.1226
20190727T043459;2.1288
20190727T043559;2.1135
20190727T043659;2.0825
20190727T043759;2.037
20190727T043859;1.9789
20190727T043959;1.8986
20190727T044059;1.7913
20190727T044159;1.6683
20190727T044259;1.5424
20190727T044359;1.4256
20190727T044459;1.291
20190727T044559;1.1638
20190727T044659;1.0464
20190727T044759;0.93499
20190727T044859;0.81995
20190727T044959;0.71112
20190727T045059;0.61763
20190727T045159;0.5709
20190727T045259;0.5402
20190727T045359;0.5224
20190727T045459;0.50733
20190727T045559;0.50317
20190727T045659;0.52162
20190727T045759;0.55605
20190727T045859;0.60426
20190727T045959;0.66492
20190727T050059;0.73723
20190727T050159;0.8217
20190727T050259;0.91999
20190727T050359;1.0417
20190727T050459;1.169
20190727T050559;1.3005
20190727T050659;1.4483
20190727T050759;1.5861
20190727T050859;1.7141
20190727T050959;1.8232
20190727T051059;1.9141
20190727T051159;2.0263
20190727T051259;2.1167
20190727T051359;2.1794
20190727T051459;2.2033
20190727T051559;2.1734
