#datetime;z_new_flow_SU
20190727T005959;0
20190727T010059;0
20190727T010159;0
20190727T010259;0
20190727T010359;0
20190727T010459;0
20190727T010559;0
20190727T010659;0
20190727T010759;0
20190727T010859;1.7784e-06
20190727T010959;0.00011486
20190727T011059;0.00048616
20190727T011159;0.0012451
20190727T011259;0.0025603
20190727T011359;0.0045403
20190727T011459;0.0072946
20190727T011559;0.010906
20190727T011659;0.015448
20190727T011759;0.020959
20190727T011859;0.027522
20190727T011959;0.035117
20190727T012059;0.043721
20190727T012159;0.053227
20190727T012259;0.063423
20190727T012359;0.074196
20190727T012459;0.085379
20190727T012559;0.096868
20190727T012659;0.10838
20190727T012759;0.11962
20190727T012859;0.13039
20190727T012959;0.14046
20190727T013059;0.14969
20190727T013159;0.15801
20190727T013259;0.16532
20190727T013359;0.17172
20190727T013459;0.17722
20190727T013559;0.18205
20190727T013659;0.18613
20190727T013759;0.18954
20190727T013859;0.19244
20190727T013959;0.19497
20190727T014059;0.19725
20190727T014159;0.19936
20190727T014259;0.20135
20190727T014359;0.20324
20190727T014459;0.20503
20190727T014559;0.20672
20190727T014659;0.20829
20190727T014759;0.2097
20190727T014859;0.21097
20190727T014959;0.21209
20190727T015059;0.21308
20190727T015159;0.21393
20190727T015259;0.21467
20190727T015359;0.21531
20190727T015459;0.21585
20190727T015559;0.21632
20190727T015659;0.21672
20190727T015759;0.21706
20190727T015859;0.21735
20190727T015959;0.2176
20190727T020059;0.21781
20190727T020159;0.21799
20190727T020259;0.21813
20190727T020359;0.21824
20190727T020459;0.21832
20190727T020559;0.21838
20190727T020659;0.21842
20190727T020759;0.21844
20190727T020859;0.21846
20190727T020959;0.21848
20190727T021059;0.21851
20190727T021159;0.21854
20190727T021259;0.21858
20190727T021359;0.21863
20190727T021459;0.21869
20190727T021559;0.21878
20190727T021659;0.21888
20190727T021759;0.21901
20190727T021859;0.21916
20190727T021959;0.21933
20190727T022059;0.21954
20190727T022159;0.21977
20190727T022259;0.22004
20190727T022359;0.22034
20190727T022459;0.22067
20190727T022559;0.22103
20190727T022659;0.22142
20190727T022759;0.22183
20190727T022859;0.22228
20190727T022959;0.22275
20190727T023059;0.22325
20190727T023159;0.22377
20190727T023259;0.22432
20190727T023359;0.22492
20190727T023459;0.22559
20190727T023559;0.22635
20190727T023659;0.22723
20190727T023759;0.22834
20190727T023859;0.22971
20190727T023959;0.23138
20190727T024059;0.23335
20190727T024159;0.23567
20190727T024259;0.2383
20190727T024359;0.24121
20190727T024459;0.24434
20190727T024559;0.24764
20190727T024659;0.2509
20190727T024759;0.254
20190727T024859;0.2568
20190727T024959;0.25924
20190727T025059;0.26133
20190727T025159;0.26305
20190727T025259;0.2644
20190727T025359;0.26548
20190727T025459;0.26629
20190727T025559;0.26687
20190727T025659;0.26728
20190727T025759;0.26759
20190727T025859;0.26783
20190727T025959;0.26801
20190727T030059;0.26815
20190727T030159;0.26825
20190727T030259;0.26832
20190727T030359;0.26838
20190727T030459;0.26842
20190727T030559;0.26845
20190727T030659;0.26847
20190727T030759;0.26848
20190727T030859;0.2685
20190727T030959;0.26852
20190727T031059;0.26856
20190727T031159;0.26861
20190727T031259;0.26869
20190727T031359;0.2688
20190727T031459;0.26896
20190727T031559;0.26916
20190727T031659;0.26937
20190727T031759;0.26954
20190727T031859;0.26965
20190727T031959;0.26973
20190727T032059;0.26977
20190727T032159;0.26978
20190727T032259;0.26979
20190727T032359;0.26979
20190727T032459;0.26979
20190727T032559;0.26979
20190727T032659;0.26979
20190727T032759;0.26979
20190727T032859;0.26979
20190727T032959;0.26979
20190727T033059;0.26979
20190727T033159;0.26979
20190727T033259;0.26979
20190727T033359;0.26979
20190727T033459;0.26979
20190727T033559;0.26979
20190727T033659;0.26979
20190727T033759;0.26979
20190727T033859;0.26979
20190727T033959;0.26979
20190727T034059;0.26979
20190727T034159;0.26979
20190727T034259;0.26979
20190727T034359;0.26979
20190727T034459;0.26979
20190727T034559;0.26979
20190727T034659;0.26979
20190727T034759;0.26979
20190727T034859;0.26979
20190727T034959;0.26979
20190727T035059;0.26979
20190727T035159;0.26979
20190727T035259;0.26979
20190727T035359;0.26979
20190727T035459;0.26979
20190727T035559;0.26979
20190727T035659;0.26979
20190727T035759;0.26979
20190727T035859;0.26982
20190727T035959;0.26986
20190727T040059;0.2699
20190727T040159;0.26994
20190727T040259;0.26998
20190727T040359;0.27002
20190727T040459;0.27006
20190727T040559;0.27009
20190727T040659;0.27012
20190727T040759;0.27016
20190727T040859;0.27018
20190727T040959;0.27019
20190727T041059;0.2702
20190727T041159;0.2702
20190727T041259;0.2702
20190727T041359;0.2702
20190727T041459;0.2702
20190727T041559;0.2702
20190727T041659;0.2702
20190727T041759;0.2702
20190727T041859;0.2702
20190727T041959;0.2702
20190727T042059;0.2702
20190727T042159;0.2702
20190727T042259;0.2702
20190727T042359;0.2702
20190727T042459;0.2702
20190727T042559;0.2702
20190727T042659;0.2702
20190727T042759;0.2702
20190727T042859;0.2702
20190727T042959;0.27021
20190727T043059;0.27023
20190727T043159;0.27031
20190727T043259;0.27046
20190727T043359;0.27067
20190727T043459;0.27094
20190727T043559;0.27123
20190727T043659;0.27156
20190727T043759;0.27188
20190727T043859;0.2722
20190727T043959;0.27249
20190727T044059;0.27273
20190727T044159;0.27292
20190727T044259;0.27306
20190727T044359;0.27319
20190727T044459;0.2733
20190727T044559;0.27337
20190727T044659;0.27342
20190727T044759;0.27345
20190727T044859;0.27347
20190727T044959;0.27347
20190727T045059;0.27348
20190727T045159;0.27348
20190727T045259;0.27348
20190727T045359;0.27349
20190727T045459;0.27349
20190727T045559;0.27349
20190727T045659;0.27349
20190727T045759;0.27349
20190727T045859;0.27349
20190727T045959;0.27349
20190727T050059;0.27349
20190727T050159;0.27349
20190727T050259;0.27349
20190727T050359;0.27349
20190727T050459;0.27349
20190727T050559;0.27349
20190727T050659;0.27349
20190727T050759;0.27351
